"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20200611","중앙선","지평","71","49","20200614"
"20200611","중앙선","용문","1796","1841","20200614"
"20200611","중앙선","원덕","307","298","20200614"
"20200611","중앙선","양평","2475","2462","20200614"
"20200611","중앙선","오빈","293","281","20200614"
"20200611","중앙선","아신","495","516","20200614"
"20200611","중앙선","국수","740","723","20200614"
"20200611","중앙선","신원","223","220","20200614"
"20200611","중앙선","양수","1817","1820","20200614"
"20200611","중앙선","운길산","914","919","20200614"
"20200611","중앙선","팔당","790","783","20200614"
"20200611","중앙선","도심","2548","2003","20200614"
"20200611","중앙선","덕소","5585","5718","20200614"
"20200611","중앙선","양정","847","742","20200614"
"20200611","중앙선","도농","9842","8708","20200614"
"20200611","중앙선","구리","13052","13069","20200614"
"20200611","중앙선","양원","1751","1843","20200614"
"20200611","중앙선","망우","7321","7104","20200614"
"20200611","중앙선","상봉(시외버스터미널)","5737","5700","20200614"
"20200611","중앙선","중랑","5375","5052","20200614"
"20200611","중앙선","회기","22505","21442","20200614"
"20200611","장항선","신창(순천향대)","1583","1348","20200614"
"20200611","장항선","온양온천","3019","3069","20200614"
"20200611","장항선","배방","886","822","20200614"
"20200611","장항선","아산","2312","2085","20200614"
"20200611","장항선","쌍용(나사렛대)","1948","1734","20200614"
"20200611","장항선","봉명","1162","1129","20200614"
"20200611","일산선","대화","13005","10012","20200614"
"20200611","일산선","주엽","8606","8700","20200614"
"20200611","일산선","정발산","6761","7112","20200614"
"20200611","일산선","마두","7531","7808","20200614"
"20200611","일산선","백석","10017","10092","20200614"
"20200611","일산선","대곡","1895","1453","20200614"
"20200611","일산선","화정","16752","17374","20200614"
"20200611","일산선","원당","10919","10381","20200614"
"20200611","일산선","삼송","17317","16725","20200614"
"20200611","일산선","원흥","9012","8444","20200614"
"20200611","우이신설선","신설동","2201","2185","20200614"
"20200611","우이신설선","보문","1437","1468","20200614"
"20200611","우이신설선","성신여대입구(돈암)","2921","3356","20200614"
"20200611","우이신설선","정릉","4119","3800","20200614"
"20200611","우이신설선","북한산보국문","5502","5233","20200614"
"20200611","우이신설선","솔샘","5515","5041","20200614"
"20200611","우이신설선","삼양사거리","2295","2326","20200614"
"20200611","우이신설선","삼양","1891","2023","20200614"
"20200611","우이신설선","화계","3086","2831","20200614"
"20200611","우이신설선","가오리","3866","3817","20200614"
"20200611","우이신설선","4.19민주묘지","2580","2508","20200614"
"20200611","우이신설선","솔밭공원","2201","2169","20200614"
"20200611","우이신설선","북한산우이","2433","2265","20200614"
"20200611","안산선","수리산","4228","3323","20200614"
"20200611","안산선","오이도","8490","8089","20200614"
"20200611","안산선","정왕","7239","7638","20200614"
"20200611","안산선","신길온천","1499","1320","20200614"
"20200611","안산선","안산","10849","9784","20200614"
"20200611","안산선","초지","4093","4132","20200614"
"20200611","안산선","고잔","7633","7471","20200614"
"20200611","안산선","중앙","14811","15455","20200614"
"20200611","안산선","한대앞","7128","7091","20200614"
"20200611","안산선","상록수","17036","16563","20200614"
"20200611","안산선","반월","4223","4051","20200614"
"20200611","안산선","대야미","4831","4253","20200614"
"20200611","안산선","산본","15662","16604","20200614"
"20200611","수인선","인천","822","1330","20200614"
"20200611","수인선","신포","1598","1624","20200614"
"20200611","수인선","숭의","3389","3168","20200614"
"20200611","수인선","인하대","4625","4379","20200614"
"20200611","수인선","송도","2362","2051","20200614"
"20200611","수인선","연수","3955","4085","20200614"
"20200611","수인선","원인재","3787","3886","20200614"
"20200611","수인선","남동인더스파크","2167","2352","20200614"
"20200611","수인선","호구포","3259","3348","20200614"
"20200611","수인선","인천논현","4925","5211","20200614"
"20200611","수인선","소래포구","4641","4380","20200614"
"20200611","수인선","월곶","2095","1951","20200614"
"20200611","수인선","달월","79","51","20200614"
"20200611","분당선","매교","2357","2313","20200614"
"20200611","분당선","수원시청","10039","11037","20200614"
"20200611","분당선","매탄권선","4127","3999","20200614"
"20200611","분당선","망포","12559","11933","20200614"
"20200611","분당선","영통","7417","7806","20200614"
"20200611","분당선","청명","3969","3798","20200614"
"20200611","분당선","상갈","5186","4842","20200614"
"20200611","분당선","기흥","9196","8628","20200614"
"20200611","분당선","신갈","4359","4193","20200614"
"20200611","분당선","구성","4704","4817","20200614"
"20200611","분당선","죽전","12818","13850","20200614"
"20200611","분당선","보정","2435","2000","20200614"
"20200611","분당선","이매","5394","4908","20200614"
"20200611","분당선","오리","11243","9656","20200614"
"20200611","분당선","미금","15090","16055","20200614"
"20200611","분당선","정자","16093","17247","20200614"
"20200611","분당선","수내","12233","12296","20200614"
"20200611","분당선","서현","23389","24028","20200614"
"20200611","분당선","야탑","24366","25456","20200614"
"20200611","분당선","모란","18549","18668","20200614"
"20200611","분당선","태평","12774","12385","20200614"
"20200611","분당선","가천대","6211","7046","20200614"
"20200611","분당선","선정릉","7884","8484","20200614"
"20200611","분당선","강남구청","9224","10798","20200614"
"20200611","분당선","압구정로데오","16216","18332","20200614"
"20200611","분당선","서울숲","8948","9153","20200614"
"20200611","분당선","수원","7290","5048","20200614"
"20200611","분당선","수서","13236","13491","20200614"
"20200611","분당선","대모산입구","3282","3057","20200614"
"20200611","분당선","개포동","3200","3396","20200614"
"20200611","분당선","구룡","1715","1667","20200614"
"20200611","분당선","도곡","6214","6326","20200614"
"20200611","분당선","한티","12452","13344","20200614"
"20200611","분당선","선릉","13166","20758","20200614"
"20200611","과천선","범계","24432","23679","20200614"
"20200611","과천선","평촌","17452","17474","20200614"
"20200611","과천선","인덕원","23275","23508","20200614"
"20200611","과천선","정부과천청사","8841","8903","20200614"
"20200611","과천선","과천","4818","4306","20200614"
"20200611","과천선","대공원","1990","2178","20200614"
"20200611","과천선","경마공원","1218","1212","20200614"
"20200611","과천선","선바위","8709","7487","20200614"
"20200611","공항철도 1호선","영종","2513","2651","20200614"
"20200611","공항철도 1호선","인천공항2터미널","1691","1620","20200614"
"20200611","공항철도 1호선","인천공항1터미널","3192","3188","20200614"
"20200611","공항철도 1호선","공항화물청사","2355","2655","20200614"
"20200611","공항철도 1호선","운서","5450","5480","20200614"
"20200611","공항철도 1호선","청라국제도시","6068","5718","20200614"
"20200611","공항철도 1호선","검암","7153","6813","20200614"
"20200611","공항철도 1호선","계양","8909","8109","20200614"
"20200611","공항철도 1호선","김포공항","8357","5234","20200614"
"20200611","공항철도 1호선","마곡나루(서울식물원)","7772","7114","20200614"
"20200611","공항철도 1호선","디지털미디어시티","12867","11770","20200614"
"20200611","공항철도 1호선","홍대입구","7460","7661","20200614"
"20200611","공항철도 1호선","공덕","2070","2622","20200614"
"20200611","공항철도 1호선","서울역","6254","5558","20200614"
"20200611","경춘선","춘천","1047","912","20200614"
"20200611","경춘선","남춘천","1798","1970","20200614"
"20200611","경춘선","김유정","268","282","20200614"
"20200611","경춘선","강촌","407","374","20200614"
"20200611","경춘선","백양리","83","82","20200614"
"20200611","경춘선","굴봉산","180","195","20200614"
"20200611","경춘선","가평","1497","1516","20200614"
"20200611","경춘선","상천","273","278","20200614"
"20200611","경춘선","청평","1449","1515","20200614"
"20200611","경춘선","대성리","494","426","20200614"
"20200611","경춘선","마석","3409","3385","20200614"
"20200611","경춘선","천마산","1433","1326","20200614"
"20200611","경춘선","평내호평","5604","5465","20200614"
"20200611","경춘선","금곡","1321","1297","20200614"
"20200611","경춘선","사릉","3394","3187","20200614"
"20200611","경춘선","퇴계원","3408","3176","20200614"
"20200611","경춘선","별내","2523","2442","20200614"
"20200611","경춘선","갈매","2881","2474","20200614"
"20200611","경춘선","신내","1355","1431","20200614"
"20200611","경인선","도화","3580","3234","20200614"
"20200611","경인선","중동","8884","8276","20200614"
"20200611","경인선","온수(성공회대입구)","6444","6387","20200614"
"20200611","경인선","도원","3234","3320","20200614"
"20200611","경인선","간석","5615","5267","20200614"
"20200611","경인선","부개","8111","7671","20200614"
"20200611","경인선","소사","9084","8578","20200614"
"20200611","경인선","구일","6225","6321","20200614"
